step 10000
time 5000.000
time-step    0.500
 referencePE   0.0000000000000000     
rnd-times  8188  8394  8895
 positions
    60  -0.02929  -0.00382   0.00897
    61   0.00761  -0.00369   0.00774
    62   0.01452   0.00908   0.01471
    63   0.00247   0.00076   0.01482
    64  -0.00465  -0.00742  -0.00403
    65  -0.01127   0.00562   0.00924
    66  -0.01429   0.02845  -0.02132
    67   0.00484  -0.00598   0.00153
    68   0.01555  -0.00398  -0.00234
    69   0.00219  -0.00878  -0.03035
    70   0.00262   0.00238  -0.00076
    71  -0.02757   0.02158  -0.01977
    72  -0.00054   0.01287   0.02196
    73   0.00114  -0.01357  -0.00604
    74   0.00193  -0.01387  -0.01564
    75  -0.01220   0.01697  -0.00989
    76  -0.00173  -0.00528   0.00348
    77   0.00584   0.00917  -0.00228
    78  -0.00059  -0.02989   0.02489
    79   0.00900  -0.00395  -0.00746
    80  -0.01172  -0.00372  -0.00931
    81   0.00120  -0.01054  -0.01286
 gradients
     1  -0.19581   3.62671  -0.28117
     2   0.30157  -1.74318  -0.56712
     3  -0.10576  -1.88354   0.84829
     4   0.57611   1.31766  -0.92709
     5  -0.12345  -1.82274   0.69701
     6  -0.45265   0.50509   0.23008
     7  -0.12697   0.35228  -0.99751
     8  -0.17101  -0.60021   0.08877
     9   0.29798   0.24793   0.90874
    10   0.53121  -1.79476  -1.48062
    11  -0.22927   0.74386   1.23538
    12  -0.30194   1.05090   0.24524
    13   1.53768   1.22645  -2.32730
    14  -0.64371  -1.11776   0.46974
    15  -0.89397  -0.10869   1.85756
    16  -0.46292  -0.50432   2.25909
    17   1.43842   0.48716  -3.02662
    18  -0.97549   0.01717   0.76753
    19  -0.56369   0.04147  -0.78449
    20   0.58189  -0.51914   0.73488
    21  -0.01819   0.47767   0.04962
    22   0.20184  -1.00571  -1.65864
    23   0.18323   0.03743   0.10510
    24  -0.38508   0.96829   1.55354
    25   0.21022   0.61959   2.03408
    26  -0.13810  -0.25452  -1.76522
    27  -0.07212  -0.36507  -0.26887
    28   0.83453   1.14126   0.73738
    29   0.25300   0.23725  -0.89971
    30  -1.08753  -1.37851   0.16233
    31  -0.02325   0.26149   1.21441
    32  -0.20445  -0.74498  -0.75573
    33   0.22770   0.48349  -0.45869
    34   0.19816  -1.95328  -0.74649
    35  -0.07198   1.30052  -0.49661
    36  -0.12617   0.65276   1.24311
    37  -0.57848   0.17488   1.09868
    38   0.35530  -0.04797  -0.44432
    39   0.22319  -0.12692  -0.65436
    40   0.95222   0.60601  -0.38689
    41  -1.81887  -0.49332   0.78304
    42   0.86666  -0.11268  -0.39615
    43  -1.25347  -0.59371  -0.94245
    44   1.22503  -0.03886   0.69656
    45   0.02844   0.63257   0.24590
    46  -0.28496  -0.73191   2.01467
    47  -0.64130  -0.01970  -0.45455
    48   0.92626   0.75161  -1.56012
    49  -0.49109   2.72134   1.97624
    50   0.45077  -2.33604  -1.75276
    51   0.04032  -0.38530  -0.22349
    52   0.39774   0.26343   0.43676
    53  -0.10260   1.18281   0.54335
    54  -0.29515  -1.44624  -0.98011
    55  -1.03974   0.46280  -0.13080
    56  -0.44850  -0.99943   1.28123
    57   1.48824   0.53663  -1.15044
    58  -2.89919   0.27368   0.69208
    59   1.29946   0.05742   0.54781
    60   1.59974  -0.33109  -1.23989
    61   0.51465   0.22175   0.57774
    62  -0.63451  -0.38080  -0.15442
    63   0.11987   0.15904  -0.42332
    64  -1.12997   2.34686  -0.39094
    65   0.33833  -0.49410  -0.90513
    66   0.79164  -1.85276   1.29608
    67   0.01742  -0.20167  -1.62387
    68  -0.05828   0.14822  -0.18986
